"y","EAR_6","EAR_5","EAR_4","EAR_3","EAR_2","EAR_1","EAR0","EAR1","EAR2","EAR3","EAR4","EAR5","EAR6"
"1","0.32999506940167844","0.327691266454953","0.3236829776627741","0.2585693346674698","0.1737639531804009","0.15404056908624067","0.1418498740292523","0.16078187285977008","0.1859994029158506","0.21790343004352344","0.24099747416534054","0.2297690061924417","0.23583114219338866"
"1","0.28064829430022264","0.27096047811849244","0.2741942084917485","0.2391659126258801","0.16772498878315145","0.14924070656737476","0.15330038789741907","0.1754192543669063","0.2455294142030505","0.2605833177965531","0.2539603292187115","0.24459064919801796","0.2745014858771587"
"1","0.2694534934293761","0.2590727518222909","0.1908196817640836","0.14541462748572392","0.13921670564747404","0.13327448615674276","0.12827704389722405","0.17900335868797312","0.17936760816763092","0.21857044521040145","0.239791532185792","0.2371751160834849","0.22953729848026766"
"1","0.26315530865845593","0.262599790077698","0.2481825718316897","0.15986267498161974","0.12282849842381745","0.11649271374230576","0.13185948100560918","0.18266967883773585","0.22592529318127846","0.2609874291070743","0.2516946210911996","0.2694534934293761","0.2557970218906712"
"1","0.3364388721939504","0.3279597623523488","0.2181052109448588","0.15417762916823985","0.14432349684857582","0.1695347699339593","0.13993281281760533","0.16755354787208104","0.2406019021083575","0.2780600799284173","0.2974291196710365","0.32744985391970993","0.3127306175191628"
"1","0.3392801302701032","0.3332259992159721","0.2641061756126309","0.16729810150719376","0.15452328613514024","0.12999371830637535","0.14804664203952106","0.2126593801248195","0.2697056953213585","0.28284311167054343","0.3364557791150067","0.33592673977712045","0.3274390266948004"
"1","0.3396609073201349","0.35007104295558705","0.278054536611147","0.15309066117241454","0.1454063820445855","0.16451748180430906","0.19553684979131716","0.2746012005403173","0.2872071455199127","0.31172507719358256","0.32976475848257314","0.32229687662542056","0.3337477018729058"
"1","0.3109598343563422","0.14908562649325308","0.19106778068788502","0.17465834989131407","0.2073418324938992","0.16745204257212834","0.14635320358838233","0.2104876890847624","0.2779478862606534","0.3109598343563422","0.296437677313233","0.3147133087061877","0.3148268427297716"
"1","0.3302937978204593","0.2168966001789574","0.18156843317517093","0.18276305073416205","0.12130898521014642","0.12746679835653496","0.11050277104828478","0.1294681272428122","0.1363318639120336","0.15021481256054947","0.16638188235195633","0.17874725209459807","0.1546588801486683"
"1","0.2455294142030505","0.15045150263726226","0.11394012601324915","0.12634630023176618","0.10596417827602198","0.13680704426676304","0.1582290820088384","0.197048209576602","0.1936051824217082","0.22246256959718508","0.2193298420362577","0.21474234277565246","0.22467722019976216"
"1","0.2536769074495949","0.2323219743236749","0.13323172627177315","0.12176085184204068","0.1114160242558338","0.122650151459034","0.1520661945955138","0.17854927905317336","0.22512594491306875","0.22340739006187355","0.2585933567088208","0.2565226888671849","0.26664730051276536"
"1","0.2510604913472878","0.1704959247437426","0.13429298166502884","0.14210016134543402","0.1318700005845982","0.12604225268189645","0.17503759648366785","0.18178557603780027","0.2251868128374226","0.23289613682826876","0.2364772382179677","0.2417059626059417","0.2499023104080803"
"1","0.3048370827172482","0.2255445565803519","0.14182556103674554","0.16264277690080114","0.12109413851563268","0.14299688675634215","0.17936760816763092","0.2498323926401247","0.2864828617084629","0.298201292643967","0.3123170817689821","0.3107053314522937","0.30921074900344125"
"1","0.35388115986119073","0.3236829776627741","0.16845735330721745","0.15995266367912422","0.15666980873799585","0.14218278488798686","0.1737639531804009","0.24085013442299744","0.28657802368530083","0.31119964357504337","0.3055683863652092","0.3206167212900879","0.3123170817689821"
"1","0.2780206645261418","0.26826416569939343","0.23020751321850375","0.14763845937094972","0.14236704144906925","0.1616142131532356","0.2018550081562627","0.232262007084357","0.2455294142030505","0.24213760871918466","0.25558012331076874","0.2509476631744359","0.25558012331076874"
